"series","subject","block","n_reps","mean","ci_lower","ci_upper","block_start_day","scenario"
"mean_queue","R2B operating theatres",10,30,0,0,0,271,"moderate_intensity"
"mean_queue","R2B operating theatres",11,30,0,0,0,301,"moderate_intensity"
"mean_queue","R2B operating theatres",12,30,0,0,0,331,"moderate_intensity"
"mean_queue","R2E holding beds",1,30,1.83560581389304,0.0550285459278406,3.61618308185824,1,"moderate_intensity"
"mean_queue","R2E holding beds",2,30,1.22997045023333,0.00178430317982037,2.45815659728684,31,"moderate_intensity"
"mean_queue","R2E holding beds",3,30,0.839285981337037,-0.0192536588247261,1.6978256214988,61,"moderate_intensity"
"mean_queue","R2E holding beds",4,30,0.772335448039944,0.0329508617958315,1.51172003428406,91,"moderate_intensity"
"mean_queue","R2E holding beds",5,30,0.352490887190086,0.0332876239981199,0.671694150382052,121,"moderate_intensity"
"mean_queue","R2E holding beds",6,30,0.336602986929092,0.0277743277498532,0.64543164610833,151,"moderate_intensity"
"mean_queue","R2E holding beds",7,30,0.153383583319309,-0.112903836091003,0.41967100272962,181,"moderate_intensity"
"mean_queue","R2E holding beds",8,30,0.114506478614319,-0.0112362480712931,0.24024920529993,211,"moderate_intensity"
"mean_queue","R2E holding beds",9,30,1.12705248928236,0.066973006950038,2.18713197161469,241,"moderate_intensity"
"mean_queue","R2E holding beds",10,30,0.178647679294855,-0.00612213089503194,0.363417489484741,271,"moderate_intensity"
"mean_queue","R2E holding beds",11,30,1.74306827375421,-0.945121498350871,4.43125804585928,301,"moderate_intensity"
"mean_queue","R2E holding beds",12,30,0.347047794974305,0.0239591909918112,0.670136398956798,331,"moderate_intensity"
"mean_queue","R2E intensive care",1,30,1.64261041816547,-0.506184845036011,3.79140568136696,1,"moderate_intensity"
"mean_queue","R2E intensive care",2,30,2.06420939034451,-0.0643622990935606,4.19278107978258,31,"moderate_intensity"
"mean_queue","R2E intensive care",3,30,0.995450444300921,0.496443084866307,1.49445780373553,61,"moderate_intensity"
"mean_queue","R2E intensive care",4,30,0.806221164284997,0.432908706038602,1.17953362253139,91,"moderate_intensity"
"mean_queue","R2E intensive care",5,30,0.923447494729652,0.524974789938256,1.32192019952105,121,"moderate_intensity"
"mean_queue","R2E intensive care",6,30,0.771840339241706,0.496367747041544,1.04731293144187,151,"moderate_intensity"
