"probability","n_reps","n_collapsed","rate","ci_lower","ci_upper","median_queue","worst_queue"
0,30,0,0,0,0.115703308222028,0.272856788516898,15.9565211935453
0.05,30,0,0,0,0.115703308222028,0.0655383867351837,15.9565211935453
0.1,30,0,0,0,0.115703308222028,0.148950101382618,15.9565211935453
0.15,30,3,0.1,0.0211171370297226,0.265288450474208,0.179984253490895,117.154289893442
0.2,30,11,0.366666666666667,0.199298625012035,0.561440150988042,1.94783997535683,121.378723334503
0.25,30,21,0.7,0.506040958537446,0.852654815245299,88.6558225984082,316.980051079023
