"decisions","boarded","queued_at_end","mean_wait_days","p90_wait_days","mean_wait_critical","mean_wait_standard","sorties_scheduled","sorties_flown","cancellation_rate","role4_peak","role4_peak_day","role4_peak_after_end","hold_total_bed_days","hold_evac_bed_days","hold_recovery_bed_days","hold_post_definitive_bed_days","hold_post_op_bed_days","hold_unexplained_bed_days","hold_evac_share","ventilated_holds","ventilated_hold_hours","replication","setting","value","arm","scenario"
247,227,20,2.87039860518107,5.37378343499027,3.12321350074929,2.44001134248755,4,4,0,166,30,0,800.108477181431,270,261.983527811038,218.526960222643,49.5979891477489,1.13686837721616e-13,0.337454242393654,23,65.2546351151684,29,"shipped",0,"high","high_intensity"
257,222,35,3.32138158604456,6,4.00049562725355,2.3617639191188,4,4,0,142,25,-5,840.852002945531,346,256.444267763977,189.922058741756,48.485676439798,1.13686837721616e-13,0.411487394675818,28,60.6455915900242,30,"shipped",0,"high","high_intensity"
292,270,22,1.5758992327155,4,1.99006529289645,1.16782384989016,4,4,0,178,30,0,762.549425550821,182,339.276511980758,188.775331128064,52.4975824419992,0,0.238673053708661,21,66.5469146124678,31,"shipped",0,"high","high_intensity"
271,236,35,3.02578678613246,5.57966984006527,3.451368760809,2.3596584779431,4,4,0,173,30,0,818.376579223315,278.069887834516,244.065959269999,238.311586021153,57.9291460976484,0,0.339782314027632,15,108.588469257359,32,"shipped",0,"high","high_intensity"
240,220,20,1.89485282471222,4.08082944499428,2.11034091857771,1.58938069165014,4,4,0,144,30,0,775.623967598174,245,326.020819336337,163.076105974315,41.5270422875225,0,0.315874715371001,14,32.6738603645229,33,"shipped",0,"high","high_intensity"
258,234,24,2.15633263745368,5,2.54342312679659,1.65539200418639,4,4,0,158,30,0,780.952508763152,244,322.080071501566,166.577451819466,48.2949854421201,0,0.31243897325644,19,42.0081510947392,34,"shipped",0,"high","high_intensity"
267,243,24,3.07127793002065,5.8115499405697,3.80993514691271,2.16320392026344,4,4,0,160,24,-6,817.876815321099,368,181.317193776816,210.490099850491,58.0695216937914,-1.13686837721616e-13,0.449945509037963,22,83.0557932330811,35,"shipped",0,"high","high_intensity"
260,238,22,2.47334798345177,5.42487505676997,2.8397885896279,1.93132125348291,4,4,0,161,30,0,836.264060688591,301,288.671860617928,195.40175779571,51.1904422749543,-1.13686837721616e-13,0.35993415734278,16,72.1010835400448,36,"shipped",0,"high","high_intensity"
282,267,15,1.95882541657674,4,2.174663413418,1.72443884188193,4,4,0,168,30,0,770.942767302473,258,300.534833427253,172.298209591196,40.1097242840244,0,0.334655192243053,12,44.0101780960122,37,"shipped",0,"high","high_intensity"
267,232,35,2.22375170470677,5,2.75769882022633,1.48062943053007,4,4,0,165,30,0,783.91104398209,278,270.713184716502,193.977792536843,41.2200667287444,1.13686837721616e-13,0.354632074817856,14,45.6477140667438,38,"shipped",0,"high","high_intensity"
230,205,25,2.37120564452116,5.00650589794782,2.76049424221043,1.83253886399763,4,4,0,129,26,-4,819.841890562355,282.74887230825,349.640002284548,173.28335911724,39.9185291605678,-25.7488723082503,0.344882196876161,13,43.1361586615725,39,"shipped",0,"high","high_intensity"
266,237,29,2.06309917933292,5,2.3268744915695,1.71398479549038,4,4,0,160,30,0,818.960622561839,258.310834385662,344.021146400629,191.391415194365,51.5480609668451,-26.3108343856622,0.315413009208703,13,76.5262766295164,40,"shipped",0,"high","high_intensity"
251,228,23,1.48146761084646,4,1.56727734222094,1.3791560080538,4,4,0,146,30,0,740.076529595569,170,367.422074052149,164.294007149643,38.3604483937772,0,0.229705973911779,12,30.0102709745371,41,"shipped",0,"high","high_intensity"
283,254,29,2.43686492422235,5.38363400124701,3.1986359403732,1.43963741217032,4,4,0,174,30,0,769.16235449791,357.234796889871,184.572048582243,181.990518989737,45.3649900360589,1.13686837721616e-13,0.464446543438889,12,49.5057988647025,42,"shipped",0,"high","high_intensity"
264,238,26,2.47183284311582,5,2.78405957021141,2.03345390305232,4,4,0,168,30,0,805.200122937621,260,300.171669763658,193.046103342438,51.9823498315253,0,0.322901093272861,9,73.5129518153965,43,"shipped",0,"high","high_intensity"
250,245,5,1.6918052567679,4,2.02872804871403,1.29170944133188,4,4,0,167,30,0,735.684048849472,240,266.729637106938,189.66624356896,39.2891798868611,-0.00101171328742566,0.326226999722685,15,36.4618055983463,44,"shipped",0,"high","high_intensity"
264,222,42,3.68185518903174,6,3.95405632766003,3.22600027012412,4,4,0,152,29,-1,828.184861932934,363.296498727854,246.78946393822,194.448831859905,48.946566134809,-25.2964987278544,0.438665949387124,13,90.5037240505402,45,"shipped",0,"high","high_intensity"
274,270,4,1.40483785574876,4,2.03654344056537,0.826894448363348,4,4,0,190,30,0,670.435331011757,281,180.052153751095,162.008704182435,47.3744730782272,1.13686837721616e-13,0.419130655861978,16,36.8991625219683,46,"shipped",0,"high","high_intensity"
293,265,28,2.33263810207304,5,2.74259310677551,1.84475776589819,4,4,0,176,30,0,809.660857805975,355.278842544793,204.825991390142,220.911419527876,54.5351946493236,-25.8905903061587,0.438799577773254,18,56.8976003639305,47,"shipped",0,"high","high_intensity"
247,229,18,1.84638291011902,5,2.40952932627473,1.09360555791088,4,4,0,143,30,0,793.266398316163,265,300.923286506763,178.85131677899,48.491795030411,1.13686837721616e-13,0.334061798864172,17,47.463610177259,48,"shipped",0,"high","high_intensity"
266,226,40,2.44791984656171,5.71816033400651,2.97353173610919,1.82024739593705,4,4,0,152,29,-1,829.532092785294,251.300680817969,360.459475617536,194.182476265399,48.8901409023585,-25.3006808179696,0.302942686610454,16,87.9058946143615,49,"shipped",0,"high","high_intensity"
278,234,44,2.41174741749347,6,2.62812937964775,2.1459067211325,4,4,0,152,30,0,833.365383339226,262,319.974000451738,207.884278653142,43.5071042343457,-1.13686837721616e-13,0.314387908638811,14,100.522566402257,50,"shipped",0,"high","high_intensity"
173,172,1,0.588146926106539,2,0.525345440860236,0.686567164179104,4,4,0,108,30,0,490.900568137177,84,281.204175519707,100.867738428924,24.8286541885462,-5.6843418860808e-14,0.171114081857259,14,24.3378723056963,1,"failure_probability",0,"reliability","moderate_intensity"
