"stage","replication","day","n_decisions","daily_rate","cumulative_rate","intensity"
"Stabilisation",3,21,4,0.25,0.5,"Moderate intensity"
"Stabilisation",3,22,3,1,0.518072289156627,"Moderate intensity"
"Stabilisation",3,23,8,0.375,0.505494505494505,"Moderate intensity"
"Stabilisation",3,24,6,0.666666666666667,0.515463917525773,"Moderate intensity"
"Stabilisation",3,25,1,1,0.520408163265306,"Moderate intensity"
"Stabilisation",3,26,0,NA,0.520408163265306,"Moderate intensity"
"Stabilisation",3,27,1,0,0.515151515151515,"Moderate intensity"
"Stabilisation",3,28,6,0.333333333333333,0.504761904761905,"Moderate intensity"
"Stabilisation",3,29,4,0.5,0.504587155963303,"Moderate intensity"
"Stabilisation",3,30,11,0.727272727272727,0.525,"Moderate intensity"
"Stabilisation",4,1,3,0,0,"Moderate intensity"
"Stabilisation",4,2,7,0.285714285714286,0.2,"Moderate intensity"
"Stabilisation",4,3,8,0.5,0.333333333333333,"Moderate intensity"
"Stabilisation",4,4,1,1,0.368421052631579,"Moderate intensity"
"Stabilisation",4,5,7,1,0.538461538461538,"Moderate intensity"
"Stabilisation",4,6,8,1,0.647058823529412,"Moderate intensity"
"Stabilisation",4,7,7,0.857142857142857,0.682926829268293,"Moderate intensity"
"Stabilisation",4,8,6,1,0.723404255319149,"Moderate intensity"
"Stabilisation",4,9,9,1,0.767857142857143,"Moderate intensity"
"Stabilisation",4,10,1,1,0.771929824561403,"Moderate intensity"
"Stabilisation",4,11,6,1,0.793650793650794,"Moderate intensity"
"Stabilisation",4,12,5,1,0.808823529411765,"Moderate intensity"
"Stabilisation",4,13,8,1,0.828947368421053,"Moderate intensity"
"Stabilisation",4,14,7,1,0.843373493975904,"Moderate intensity"
"Stabilisation",4,15,3,1,0.848837209302326,"Moderate intensity"
"Stabilisation",4,16,8,1,0.861702127659574,"Moderate intensity"
"Stabilisation",4,17,2,1,0.864583333333333,"Moderate intensity"
"Stabilisation",4,18,6,1,0.872549019607843,"Moderate intensity"
"Stabilisation",4,19,3,1,0.876190476190476,"Moderate intensity"
"Stabilisation",4,20,3,1,0.87962962962963,"Moderate intensity"
"Stabilisation",4,21,2,1,0.881818181818182,"Moderate intensity"
"Stabilisation",4,22,2,1,0.883928571428571,"Moderate intensity"
"Stabilisation",4,23,3,1,0.88695652173913,"Moderate intensity"
"Stabilisation",4,24,2,1,0.888888888888889,"Moderate intensity"
"Stabilisation",4,25,2,1,0.890756302521008,"Moderate intensity"
"Stabilisation",4,26,1,1,0.891666666666667,"Moderate intensity"
"Stabilisation",4,27,1,1,0.892561983471074,"Moderate intensity"
"Stabilisation",4,28,0,NA,0.892561983471074,"Moderate intensity"
"Stabilisation",4,29,5,1,0.896825396825397,"Moderate intensity"
