"pool","replication","zero_share","longest_busy_days","intensity"
"R2B holding beds",1,0.386432412932474,12.4373928009746,"Moderate intensity"
"R2B holding beds",2,0.186276110027441,24.4117166991768,"Moderate intensity"
"R2B holding beds",3,0.164857282461021,14.317569733086,"Moderate intensity"
"R2B holding beds",4,0.296536706331047,10.0463115228456,"Moderate intensity"
"R2B holding beds",5,0.282701690489108,12.221765582431,"Moderate intensity"
"R2B holding beds",6,0.388811941397155,12.5106584627253,"Moderate intensity"
"R2B holding beds",7,0.206383760713888,18.3164480478279,"Moderate intensity"
"R2B holding beds",8,0.266886724890638,10.8531357595308,"Moderate intensity"
"R2B holding beds",9,0.284333201936965,20.7878553316047,"Moderate intensity"
"R2B holding beds",10,0.200717724335132,23.680989051269,"Moderate intensity"
"R2B holding beds",11,0.162854485566019,25.1143654330194,"Moderate intensity"
"R2B holding beds",12,0.427692267940574,11.4312644831775,"Moderate intensity"
"R2B holding beds",13,0.577973921004622,8.62231344990431,"Moderate intensity"
"R2B holding beds",14,0.137928320646108,22.6902921312251,"Moderate intensity"
"R2B holding beds",15,0.313543018798274,20.5937094360518,"Moderate intensity"
"R2B holding beds",16,0.146740629801265,23.4131462550952,"Moderate intensity"
"R2B holding beds",17,0.203906274680506,23.2880676957034,"Moderate intensity"
"R2B holding beds",18,0.114521401936315,26.5643579419105,"Moderate intensity"
"R2B holding beds",19,0.337125677161864,14.2480799449456,"Moderate intensity"
"R2B holding beds",20,0.676830704322502,9.69507887032492,"Moderate intensity"
"R2B holding beds",21,0.279849596901559,21.6045120929532,"Moderate intensity"
"R2B holding beds",22,0.0822385766858197,27.5328426994254,"Moderate intensity"
"R2B holding beds",23,0.355182290994048,19.3445312701786,"Moderate intensity"
"R2B holding beds",24,0.270479616218695,12.0638003359258,"Moderate intensity"
"R2B holding beds",25,0.154198986524158,25.3740304042753,"Moderate intensity"
"R2B holding beds",26,0.112164735922209,26.6350579223337,"Moderate intensity"
"R2B holding beds",27,0.383251419211287,13.0717670480495,"Moderate intensity"
"R2B holding beds",28,0.358251777088234,13.2939955093215,"Moderate intensity"
"R2B holding beds",29,0.201033651773659,23.9689904467902,"Moderate intensity"
"R2B holding beds",30,0.161013415646019,20.6298204010434,"Moderate intensity"
"R2B holding beds",31,0.17520453397722,16.0469969563248,"Moderate intensity"
"R2B holding beds",32,0.55856540412998,7.58461114534708,"Moderate intensity"
"R2B holding beds",33,0.329332105468597,14.939156531252,"Moderate intensity"
"R2B holding beds",34,0.461619024687008,14.4363162854329,"Moderate intensity"
"R2B holding beds",35,0.169281836735058,24.9215448979483,"Moderate intensity"
"R2B holding beds",36,0.132301934026386,26.0309419792084,"Moderate intensity"
"R2B holding beds",37,0.197909843021552,21.5381329275533,"Moderate intensity"
"R2B holding beds",38,0.185752452580621,10.8802396418563,"Moderate intensity"
"R2B holding beds",39,0.102235887441239,14.9081228858771,"Moderate intensity"
"R2B holding beds",40,0.310284776249954,15.9303766558575,"Moderate intensity"
"R2B holding beds",41,0.237782851533918,19.2858664993337,"Moderate intensity"
"R2B holding beds",42,0.10782939219788,26.7651182340636,"Moderate intensity"
"R2B holding beds",43,0.415658720836668,7.75727474585221,"Moderate intensity"
"R2B holding beds",44,0.267266258071355,18.301028682987,"Moderate intensity"
"R2B holding beds",45,0.184142557994947,24.4757232601516,"Moderate intensity"
"R2B holding beds",46,0.0692999400395533,27.9210017988134,"Moderate intensity"
"R2B holding beds",47,0.363396638687036,15.8807937702032,"Moderate intensity"
"R2B holding beds",48,0.284272928413981,14.5410373293705,"Moderate intensity"
"R2B holding beds",49,0.076434656052297,27.7069603184311,"Moderate intensity"
"R2B holding beds",50,0.217140693951582,19.205971419787,"Moderate intensity"
"R2E operating theatres",1,0.699781149569505,2.50658406582575,"Moderate intensity"
"R2E operating theatres",2,0.884672524315881,2.99804847416951,"Moderate intensity"
"R2E operating theatres",3,0.798677991737955,3.88191105461414,"Moderate intensity"
"R2E operating theatres",4,0.0401047482803246,28.7847996588181,"Moderate intensity"
"R2E operating theatres",5,0.473796559727523,10.4303622833184,"Moderate intensity"
"R2E operating theatres",6,0.863361793593511,0.886559775618185,"Moderate intensity"
"R2E operating theatres",7,0.988601302301901,0.184453129254714,"Moderate intensity"
"R2E operating theatres",8,0.835660418044022,2.92021523362732,"Moderate intensity"
"R2E operating theatres",9,0.899888398416985,1.72752218455821,"Moderate intensity"
