"i","r2b_ot_q","r2e_ot_q","system_ot_q","transport_q","transport_util"
1,0,18.0902149068145,18.0902149068145,0.104979802101084,0.117642999995341
2,0,11.0768359341549,11.0768359341549,0.0909739374465489,0.104527063282213
3,0,9.95945493001142,9.95945493001142,0.249343494502219,0.133759157270692
4,0,12.2609965246522,12.2609965246522,0.0944066665955851,0.109188378601824
5,0,4.73908538342519,4.73908538342519,0.0724829263777738,0.131796562147696
6,0,2.91312609047539,2.91312609047539,0.0517785663561938,0.0998472385944282
7,0,29.6205091199277,29.6205091199277,0.397488744770476,0.163226903922662
8,0,0.952922392533188,0.952922392533188,0.0584474272308147,0.102748248777609
9,0,1.14994362992921,1.14994362992921,0.0286279473400017,0.122945813324366
10,0,5.53609690519517,5.53609690519517,0.0531245191659306,0.134148092066342
11,0,2.09438755709086,2.09438755709086,0.0608270592096372,0.0966853420568482
12,0,19.5259072661079,19.5259072661079,0.16203193064013,0.11390633032751
13,0,10.0996367183825,10.0996367183825,0.0622734840861039,0.17069680756647
14,0,0.972813443957498,0.972813443957498,0.0286757891243481,0.108005726083104
15,0,8.95071532899952,8.95071532899952,0.0465508458641023,0.100818473312208
16,0,21.7869892629993,21.7869892629993,0.167886323549901,0.12113546991725
17,0,19.6895819085338,19.6895819085338,0.0555621229715723,0.101710594514228
18,0,1.48164682136908,1.48164682136908,0.117819879005918,0.138422561213861
19,0,4.25713464352043,4.25713464352043,0.0794298825293908,0.105249625605884
20,0,9.84388844306696,9.84388844306696,0.102370346392614,0.120846036612319
21,0,3.30959082923852,3.30959082923852,0.0394079611758935,0.0865172999323088
22,0,3.37837693318616,3.37837693318616,0.0677948297805327,0.190906751534556
23,0,11.5161874000742,11.5161874000742,0.144939274967304,0.112660106431998
24,0,21.2994132615747,21.2994132615747,0.284847423697708,0.147447583473464
25,0,0.96097038483332,0.96097038483332,0.0758803490332796,0.161501176253003
26,0,20.5339076635046,20.5339076635046,0.118256007266458,0.117421209818156
27,0,5.49995973232452,5.49995973232452,0.0909565050948796,0.111669107698881
28,0,3.36728758862743,3.36728758862743,0.0790081270990991,0.234867763410379
29,0,0.149453469733643,0.149453469733643,0.0158760424234545,0.0862861956807161
30,0,3.47172238816231,3.47172238816231,0.0560105913261787,0.124336510178447
31,0,4.99245678163493,4.99245678163493,0.0698686523153913,0.126757944184262
32,0,1.90755066061468,1.90755066061468,0.0377231719734661,0.160046163220069
33,0,3.20206328787001,3.20206328787001,0.0696473063187681,0.163012488513348
34,0,3.29592438411075,3.29592438411075,0.00139333127728018,0.203672715832917
35,0,10.7816349041017,10.7816349041017,0.312256388380109,0.152409324363476
36,0,16.9739923957731,16.9739923957731,0.10227923333969,0.114615162874793
37,0,0.193275385738936,0.193275385738936,0.00649450327435134,0.128778910938786
38,0,9.80516211807652,9.80516211807652,0.150536091346318,0.122114013652786
39,0,16.7206288604102,16.7206288604102,0.0680673990898946,0.101408217655869
40,0,6.19438652646475,6.19438652646475,0.105389328975365,0.10298064685706
41,0,0.696651619578814,0.696651619578814,0.0560322169075076,0.237084200862102
42,0,9.7999786466726,9.7999786466726,0.12349376687467,0.109083859663183
43,0,0.208738864498962,0.208738864498962,0.00718029513184354,0.230621454179069
44,0,10.873382790303,10.873382790303,0.112855756206583,0.167665106818805
45,0,14.2921578706921,14.2921578706921,0.10439541529195,0.110282248962347
46,0,7.95318732179978,7.95318732179978,0.102082144036921,0.0975467303980396
47,0,2.38076511406525,2.38076511406525,0.0213852340070645,0.156589955093129
48,0,2.00054768473482,2.00054768473482,0.0565603438403688,0.198536708451544
49,0,13.9412718914607,13.9412718914607,0.130332701276657,0.116939647113794
50,0,14.5416802077706,14.5416802077706,0.155672863512878,0.138095216302932
51,0,3.53696634095218,3.53696634095218,0.0650361906554943,0.13651796594482
52,0,2.33341565494329,2.33341565494329,0.0517966554378295,0.162003655276603
53,0,1.57189306011205,1.57189306011205,0.0964633964096423,0.154805388469823
54,0,15.8997932297715,15.8997932297715,0.120953527829192,0.116410350913575
55,0,0.342046080802582,0.342046080802582,0.000724332901512393,0.193564214263844
56,0,16.9322666314134,16.9322666314134,0.213688445727798,0.131363361569393
57,0,1.13973340910067,1.13973340910067,0.0172130604746045,0.160507537679954
58,0,16.9561308650318,16.9561308650318,0.263184291755892,0.10327689566067
59,0,4.37529726637361,4.37529726637361,0.146283025139812,0.110002599096971
60,0,14.9657673527493,14.9657673527493,0.174596196958674,0.113523636684762
61,0,20.8855625419772,20.8855625419772,0.18100369591906,0.116546780647329
62,0,4.13255421318611,4.13255421318611,0.023645844808861,0.153669295790857
63,0,10.2045140245391,10.2045140245391,0.119153094357182,0.139217046475976
64,0,17.210111453094,17.210111453094,0.167637304586563,0.126797050901733
65,0,11.2435837323786,11.2435837323786,0.0568316310265898,0.0973289939687548
66,0,0.969509951241985,0.969509951241985,0.080732780935557,0.182765043985679
67,0,4.93133814052216,4.93133814052216,0.174475076149662,0.123364705977142
68,0,1.50523250985075,1.50523250985075,0.039756247946765,0.223469923875837
69,0,21.8621073735201,21.8621073735201,0.221437466026331,0.135943148230135
70,0,12.052573574545,12.052573574545,0.397602445172011,0.151122743153892
71,0,1.85097544718672,1.85097544718672,0.0480942693804966,0.12662474097641
72,0,6.08829765873481,6.08829765873481,0.099375659508172,0.108230899805924
73,0,0.663201776357997,0.663201776357997,0.110519492129822,0.0997563602842077
74,0,1.81457512873149,1.81457512873149,0.0560155313810228,0.129380779102212
75,0,6.08918785810056,6.08918785810056,0.189882671278588,0.125709314091913
76,0,11.8201575758758,11.8201575758758,0.0746824856977595,0.154669335770894
77,0,0.89078619196532,0.89078619196532,0.0672473315743332,0.131928532883731
78,0,7.77345681248162,7.77345681248162,0.15938711364268,0.106809331630866
79,0,7.03887095962373,7.03887095962373,0.0553996190687808,0.0918778499403741
80,0,4.16245170700004,4.16245170700004,0.117069721376659,0.154597119269343
81,0,13.9696856352799,13.9696856352799,0.0644462739722612,0.098339229390992
82,0,2.39920033755756,2.39920033755756,0.00865839573256822,0.238137988714923
83,0,3.9325197450773,3.9325197450773,0.0876678368002567,0.13130148511411
84,0,22.9111840585104,22.9111840585104,0.168780830747597,0.136922976819398
85,0,9.89880985127919,9.89880985127919,0.107607275303952,0.157216374915547
86,0,0.907581254501874,0.907581254501874,0.0426583238405067,0.122706687367839
87,0,4.82639920028275,4.82639920028275,0.10260523115246,0.103176643642102
88,0,0.111159348320554,0.111159348320554,0.000447724485165272,0.167693962962249
89,0,8.37797155182646,8.37797155182646,0.0583729192312043,0.131865675636032
90,0,0.724112485592614,0.724112485592614,0.0017588095287266,0.176013367721879
91,0,17.7368224768253,17.7368224768253,0.473887993944988,0.166101146209837
92,0,1.81558441001822,1.81558441001822,0.0725003891816244,0.105439568200924
93,0,3.81657091299132,3.81657091299132,0.142812906197232,0.125336431986851
94,0,7.44900234470578,7.44900234470578,0.0976976368312133,0.127750526691564
95,0,8.81034941726768,8.81034941726768,0.0578286873329346,0.129224224530015
96,0,3.57503868449815,3.57503868449815,0.00528610819731836,0.206652600746091
97,0,10.5742797739385,10.5742797739385,0.204416792222718,0.12875207031626
98,0,9.75777038544582,9.75777038544582,0.339129739455633,0.117926611370546
