"parameter","S1","S1_lower","S1_upper","ST","ST_lower","ST_upper"
"pri1_surg_prob",0.00227676685844735,-0.0590030396827561,0.0599113037879215,0.042562626398065,-0.137543089920313,0.179457753620546
"mass_casualty_rate",0.604787307103577,-0.0626664003723878,0.934767744250215,0.660280778687234,0.420471554190877,0.954580940947388
"mass_casualty_max_cas",0.284762395368006,-0.0886982207582742,0.552199925880294,0.386826267701636,0.117385597924915,0.706144152692431
"mass_casualty_min_cas",0.053921307592252,-0.098745727774212,0.163291296816181,0.0992691825205375,-0.0987436467086839,0.286513342701716
"pri1_dcs_rate",0.000532457926669407,-0.0935640118034747,0.0843679741339826,0.0560552064348138,-0.144198218485514,0.263628284445049
