"rate_per_day","response","n_reps","mean","ci_lower","ci_upper"
0,"total_casualties",62,441.08064516129,425.710490142877,456.450800179704
0,"n_events",62,0,0,0
0.2,"total_casualties",62,691.5,662.250820952136,720.749179047864
0.2,"n_events",62,5.85483870967742,5.29194527257979,6.41773214677505
