"saturation_threshold","response","n_reps","mean","ci_lower","ci_upper"
0,"hold_occupancy",30,0.542446934549753,0.509673805393787,0.575220063705719
0,"hold_mean_queue",30,0.740003364100366,-0.0878223201627937,1.56782904836353
0,"icu_occupancy",30,0.873622229529575,0.864551917343893,0.882692541715256
0,"icu_mean_queue",30,0.442623755801407,0.374835702973257,0.510411808629556
0,"total_rtd",30,2132.56666666667,2106.24828189178,2158.88505144155
0,"total_dow",30,15.7,13.8545976341499,17.5454023658501
0,"dispositions",30,2566.66666666667,2506.62463720551,2626.70869612783
0,"in_theatre_share",30,0.110979997332454,0.108513350138329,0.113446644526579
0,"post_definitive_icu_share",30,0.347516345019572,0.336226407562184,0.35880628247696
0,"evac_decisions",30,2299.66666666667,2243.95550207833,2355.377831255
0,"never_evacuated",30,1.23333333333333,0.647559242776593,1.81910742389007
0,"mean_evac_wait_days",30,0.218930038627608,0.169852416155883,0.268007661099334
0,"role4_sustained",30,94.4560187423357,89.3372824881909,99.5747549964805
0,"role4_peak",30,171.433333333333,164.579080704074,178.287585962592
0,"theatre_mean_queue",30,8.16850698806861,3.97786543144761,12.3591485446896
0,"released_unrepaired",30,0,0,0
0,"role4_operations",30,916.666666666667,883.55166472268,949.781668610653
0,"role4_theatre_minutes",30,0,0,0
1,"hold_occupancy",30,0.524881221745859,0.494544483252454,0.555217960239264
1,"hold_mean_queue",30,0.773306715834591,0.206726911586196,1.33988652008299
1,"icu_occupancy",30,0.897724423835371,0.886523096999804,0.908925750670938
1,"icu_mean_queue",30,1.74750900896933,1.19174404503131,2.30327397290735
1,"total_rtd",30,2125.16666666667,2096.9928498995,2153.34048343383
1,"total_dow",30,18.5,16.8924233611273,20.1075766388727
1,"dispositions",30,2591.63333333333,2542.66987608244,2640.59679058423
1,"in_theatre_share",30,0.110168160844717,0.107239004023152,0.113097317666282
1,"post_definitive_icu_share",30,0.288030933274993,0.273915417514,0.302146449035985
1,"evac_decisions",30,2336.2,2288.89762461921,2383.50237538079
1,"never_evacuated",30,4.66666666666667,2.40203897277329,6.93129436056004
1,"mean_evac_wait_days",30,0.655535602711052,0.476393289761185,0.834677915660918
1,"role4_sustained",30,98.6394876972202,94.0904153912824,103.188560003158
1,"role4_peak",30,182.466666666667,174.258328417115,190.675004916218
1,"theatre_mean_queue",30,1.87575138306277,1.40029168864993,2.35121107747561
1,"released_unrepaired",30,283.8,262.797165269723,304.802834730277
1,"role4_operations",30,1266.43333333333,1219.458953577,1313.40771308967
1,"role4_theatre_minutes",30,32453.3545164414,30083.2589736819,34823.4500592009
2,"hold_occupancy",30,0.522547258867195,0.495053698518314,0.550040819216076
2,"hold_mean_queue",30,0.447922821708402,0.093509535985023,0.80233610743178
