"hold_occupancy","hold_mean_queue","icu_occupancy","icu_mean_queue","total_rtd","total_dow","dispositions","in_theatre_share","post_definitive_icu_share","evac_decisions","never_evacuated","mean_evac_wait_days","role4_sustained","role4_peak","theatre_mean_queue","released_unrepaired","role4_operations","role4_theatre_minutes","replication","saturation_threshold"
0.43785650973999,0,0.845221905184328,0.257717448475772,2107,13,2511,0.105933890880127,0.339031339031339,2267,0,0.25748320249514,78.8852459016394,155,0.757519238509963,130,1053,14281.3748876661,1,5
0.477964913744098,0,0.860309715075361,0.212403972840661,1972,14,2274,0.123131046613896,0.392230576441103,2016,0,0.21963738026574,70.703125,149,0.549164847950699,104,974,11423.9090495829,2,5
0.516644688688604,0.609703203593669,0.910492929762414,1.7389012510406,2101,11,2484,0.11231884057971,0.310787172011662,2231,0,0.424464797687623,97.368,179,2.28287855162617,200,1112,22272.6508040655,3,5
0.526219230395225,0.0897497652227887,0.89150158279607,3.29792533638328,2168,18,2890,0.107266435986159,0.0938841201716738,2615,1,6.06125226837278,108,231,8.71454791257787,376,1614,43127.3942172166,4,5
0.551837241530217,0,0.890817799553517,0.788227816229412,2090,17,2448,0.115196078431373,0.349039057656541,2197,1,0.351326006704754,104.4453125,185,2.41040003285808,176,1013,20831.6463674357,5,5
0.608636006042225,0,0.905392073594222,0.578214178992396,2192,12,2530,0.11304347826087,0.313669880884855,2266,0,0.318143733173471,93.648,187,1.22569229718907,153,1168,17086.9404406967,6,5
0.451878845904755,0.0632847460971935,0.877538649979631,0.792113265530478,2068,15,2479,0.114965711980637,0.340626848018924,2212,1,0.373985507827458,80.9,156,1.2446096063145,147,1009,16813.9779880652,7,5
0.486239909433242,0,0.872609687587103,0.417939735112288,2125,16,2436,0.104679802955665,0.342410196987254,2198,2,0.360397043810291,90.488188976378,165,1.10311476790524,112,1079,13571.3347004341,8,5
0.549764548697487,0.0963731861459948,0.935203449865032,1.48557726377134,2188,21,2706,0.110864745011086,0.292116630669546,2439,1,0.336642156852148,112.173228346457,183,3.5029064500153,155,1268,17529.0619661407,9,5
0.582246560098374,0.187153428344251,0.9068600664414,1.65554966802536,2122,14,2711,0.101069715971966,0.272371364653244,2465,2,0.511573378570577,99.8872180451128,185,3.3847635173462,251,1259,27956.398173517,10,5
