"scenario","scenario_label","resource","n_reps","mean_q","sd_q","p10_q","p90_q","max_q","ci_lower","ci_upper"
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_10_t1",50,0.0869300469261895,0.228554300892303,0,0.357728158725431,2,0.0219756333025719,0.151884460549807
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_12_t1",50,0.0865417237303702,0.246060390239468,0,0.178508904480987,2,0.0166121345622611,0.156471312898479
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_13_t1",50,0.0773077320419428,0.209473588670577,0,0.187724999022015,2,0.0177759968323588,0.136839467251527
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_7_t1",50,0.075274456231634,0.22706778531293,0,0.190664944891957,2,0.0107425056613197,0.139806406801948
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_9_t1",50,0.0685594323399858,0.191253627882471,0,0.167704984462259,2,0.0142057526936369,0.122913111986335
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_14_t1",50,0.0634573127357101,0.194588784047397,0,0.121171043274058,2,0.0081557921947024,0.118758833276718
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_11_t1",50,0.0628856168251037,0.181008151683408,0,0.136407748706311,2,0.0114436692975851,0.114327564352622
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","c_r2eheavy_surg_1_anesthetist_1_t1",50,0.0626906164478429,0.0509806247443046,4.69109887428196e-05,0.133285894475796,2,0.0482020832043038,0.0771791496913821
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_8_t1",50,0.0624714892867691,0.184022648457235,0,0.131319920995609,2,0.0101728312552266,0.114770147318312
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","c_r2eheavy_surg_3_anesthetist_1_t1",50,0.0597094661323601,0.0480723625664145,0.00926344682761718,0.128086716492632,2,0.0460474518547345,0.0733714804099857
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_28_t1",41,0.0593655530280057,0.188544293115261,0,0.0846562521814471,1,-0.000146369069373806,0.118877475125385
"moderate_intensity","Moderate Intensity — Falklands 1982 (Operation CORPORATE, British Task Force, South Atlantic)","b_r2eheavy_hold_17_t1",50,0.0510518837115269,0.154750996932191,0,0.0977050708686895,2,0.00707213699856898,0.0950316304244849
