"scenario","replication","group","mean_q"
"moderate_intensity",19,"R2E ICU",0.518799427293544
"moderate_intensity",19,"R2E OT",2.77944914430293
"moderate_intensity",19,"Transport",0.00381957772575637
"moderate_intensity",20,"R2B Hold",5.0056584632369
"moderate_intensity",20,"R2B OT",0
"moderate_intensity",20,"R2E Hold",1.40144173381396
"moderate_intensity",20,"R2E ICU",0.382532274212447
"moderate_intensity",20,"R2E OT",0.553120110569434
"moderate_intensity",20,"Transport",0.00625487193104475
"moderate_intensity",21,"R2B Hold",3.20301346283218
"moderate_intensity",21,"R2B OT",0
"moderate_intensity",21,"R2E Hold",0
"moderate_intensity",21,"R2E ICU",0.24298897945349
"moderate_intensity",21,"R2E OT",0.539016430789967
"moderate_intensity",21,"Transport",0.000529564939399607
"moderate_intensity",22,"R2B Hold",4.57349218936779
"moderate_intensity",22,"R2B OT",0
"moderate_intensity",22,"R2E Hold",0.315006892332039
"moderate_intensity",22,"R2E ICU",0.414415868074257
"moderate_intensity",22,"R2E OT",0.70846314233846
"moderate_intensity",22,"Transport",0.000569445485111323
"moderate_intensity",23,"R2B Hold",2.42246847222506
"moderate_intensity",23,"R2B OT",0
"moderate_intensity",23,"R2E Hold",0.0671787955233574
"moderate_intensity",23,"R2E ICU",0.238573574207454
"moderate_intensity",23,"R2E OT",0.0826552074267174
"moderate_intensity",23,"Transport",0.000154911940239673
"moderate_intensity",24,"R2B Hold",5.60647504602149
"moderate_intensity",24,"R2B OT",0
"moderate_intensity",24,"R2E Hold",0
"moderate_intensity",24,"R2E ICU",0.421902126273567
"moderate_intensity",24,"R2E OT",0.850051652241245
"moderate_intensity",24,"Transport",0.00561578795952789
"moderate_intensity",25,"R2B Hold",1.40143669747663
"moderate_intensity",25,"R2B OT",0
"moderate_intensity",25,"R2E Hold",0.460427435229195
"moderate_intensity",25,"R2E ICU",0.250536599534531
"moderate_intensity",25,"R2E OT",0.0804126484847523
"moderate_intensity",25,"Transport",0.00059426446338947
"moderate_intensity",26,"R2B Hold",7.36051921367127
"moderate_intensity",26,"R2B OT",0
"moderate_intensity",26,"R2E Hold",0.00384530803761933
"moderate_intensity",26,"R2E ICU",1.18325020124907
"moderate_intensity",26,"R2E OT",3.82188000093758
"moderate_intensity",26,"Transport",0.0133716309446237
"moderate_intensity",27,"R2B Hold",2.64806726037947
"moderate_intensity",27,"R2B OT",0
"moderate_intensity",27,"R2E Hold",0
"moderate_intensity",27,"R2E ICU",0.233455326818515
"moderate_intensity",27,"R2E OT",0.304722867942855
"moderate_intensity",27,"Transport",0.00132758562096536
"moderate_intensity",28,"R2B Hold",7.00795910090242
"moderate_intensity",28,"R2B OT",0
"moderate_intensity",28,"R2E Hold",0
"moderate_intensity",28,"R2E ICU",0.79800561925024
"moderate_intensity",28,"R2E OT",1.45389436802349
"moderate_intensity",28,"Transport",0.00688366985154879
"moderate_intensity",29,"R2B Hold",1.11352537672484
"moderate_intensity",29,"R2B OT",0
"moderate_intensity",29,"R2E Hold",0.389159408644968
"moderate_intensity",29,"R2E ICU",0.419301825233315
"moderate_intensity",29,"R2E OT",0.727861579220138
"moderate_intensity",29,"Transport",0.00327165327447714
"moderate_intensity",30,"R2B Hold",3.60174509857951
"moderate_intensity",30,"R2B OT",0
"moderate_intensity",30,"R2E Hold",0
"moderate_intensity",30,"R2E ICU",0.0859315411976904
"moderate_intensity",30,"R2E OT",0.730425602212858
"moderate_intensity",30,"Transport",0.0103706403031903
"moderate_intensity",31,"R2B Hold",4.02779124771061
"moderate_intensity",31,"R2B OT",0
"moderate_intensity",31,"R2E Hold",0
"moderate_intensity",31,"R2E ICU",0.401063701210481
"moderate_intensity",31,"R2E OT",2.20984724332012
"moderate_intensity",31,"Transport",0.00134248280015746
"moderate_intensity",32,"R2B Hold",6.08565838689258
"moderate_intensity",32,"R2B OT",0
"moderate_intensity",32,"R2E Hold",0.153135442582656
"moderate_intensity",32,"R2E ICU",0.279198078815668
"moderate_intensity",32,"R2E OT",2.10183099186098
"moderate_intensity",32,"Transport",0.00786800797739219
"moderate_intensity",33,"R2B Hold",0.612609586266348
"moderate_intensity",33,"R2B OT",0
"moderate_intensity",33,"R2E Hold",1.83849171069202
"moderate_intensity",33,"R2E ICU",0.0613679449208212
"moderate_intensity",33,"R2E OT",0.15236303863966
"moderate_intensity",33,"Transport",0.000715225812617535
"moderate_intensity",34,"R2B Hold",1.08438088455486
"moderate_intensity",34,"R2B OT",0
"moderate_intensity",34,"R2E Hold",0
"moderate_intensity",34,"R2E ICU",0.348858042097635
"moderate_intensity",34,"R2E OT",0.731504397301124
"moderate_intensity",34,"Transport",0.00402820768010441
"moderate_intensity",35,"R2B Hold",7.68511946495945
"moderate_intensity",35,"R2B OT",0
"moderate_intensity",35,"R2E Hold",0.908839571658594
"moderate_intensity",35,"R2E ICU",0.317523787130435
"moderate_intensity",35,"R2E OT",0.553357674615904
"moderate_intensity",35,"Transport",0.00142450233415435
"moderate_intensity",36,"R2B Hold",10.3856315403287
"moderate_intensity",36,"R2B OT",0
"moderate_intensity",36,"R2E Hold",0.0826259962484625
"moderate_intensity",36,"R2E ICU",0.560379310432357
"moderate_intensity",36,"R2E OT",1.41417046806494
"moderate_intensity",36,"Transport",0.0332984295498214
"moderate_intensity",37,"R2B Hold",6.36403497443498
"moderate_intensity",37,"R2B OT",0
"moderate_intensity",37,"R2E Hold",4.23006479172791
"moderate_intensity",37,"R2E ICU",0.265988683171978
"moderate_intensity",37,"R2E OT",0.522682957142924
"moderate_intensity",37,"Transport",0.00613795349740923
"moderate_intensity",38,"R2B Hold",4.99482522221231
"moderate_intensity",38,"R2B OT",0
"moderate_intensity",38,"R2E Hold",0.0736880911592975
"moderate_intensity",38,"R2E ICU",0.307892188722013
"moderate_intensity",38,"R2E OT",0.258176458454306
"moderate_intensity",38,"Transport",0.00291511369355168
"moderate_intensity",39,"R2B Hold",4.93634337693023
"moderate_intensity",39,"R2B OT",0
"moderate_intensity",39,"R2E Hold",6.74664653373509
"moderate_intensity",39,"R2E ICU",2.810962013043
"moderate_intensity",39,"R2E OT",0.168283836607787
"moderate_intensity",39,"Transport",0.00468875585231025
"moderate_intensity",40,"R2B Hold",2.56677718841333
"moderate_intensity",40,"R2B OT",0
"moderate_intensity",40,"R2E Hold",0.528886380234617
"moderate_intensity",40,"R2E ICU",0.39140235348069
"moderate_intensity",40,"R2E OT",0.30858924436706
"moderate_intensity",40,"Transport",0.000676299011852006
"moderate_intensity",41,"R2B Hold",2.94061388993254
"moderate_intensity",41,"R2B OT",0
"moderate_intensity",41,"R2E Hold",0
"moderate_intensity",41,"R2E ICU",0.237840118733975
"moderate_intensity",41,"R2E OT",0.265631492801687
"moderate_intensity",41,"Transport",7.84571633271804e-05
"moderate_intensity",42,"R2B Hold",5.47117364944961
"moderate_intensity",42,"R2B OT",0
"moderate_intensity",42,"R2E Hold",6.93413067871256
"moderate_intensity",42,"R2E ICU",2.50455691694384
"moderate_intensity",42,"R2E OT",5.204464283844
"moderate_intensity",42,"Transport",0.0275530176510079
"moderate_intensity",43,"R2B Hold",2.35045127446222
"moderate_intensity",43,"R2B OT",0
"moderate_intensity",43,"R2E Hold",0
"moderate_intensity",43,"R2E ICU",0.453420153032879
"moderate_intensity",43,"R2E OT",1.72345866978958
"moderate_intensity",43,"Transport",0.00557950512549719
"moderate_intensity",44,"R2B Hold",4.22873384730572
"moderate_intensity",44,"R2B OT",0
