"response","n_points","sd_within_mean","sd_within_min","sd_within_max","var_noise_at_design_reps","var_across_design","noise_share","noise_share_lower","noise_share_upper","deflation_factor","reps_for_5pc_share","note"
"r2b_ot_q",20,0,0,0,0,0,NA,NA,NA,NA,NA,"response constant across the design"
"r2e_ot_q",20,8.72668169869416,0.684771685396833,18.5819365724178,19.0387433675809,57.9128911252065,0.328747935004998,0.282002166457706,0.37549370355229,0.671252064995002,27,""
"system_ot_q",20,8.72668169869416,0.684771685396833,18.5819365724178,19.0387433675809,57.9128911252065,0.328747935004998,0.282002166457706,0.37549370355229,0.671252064995002,27,""
"transport_q",20,0.174652103528338,0.0147780802565282,0.622739827880746,0.00762583931671834,0.00855711867911423,0.891169049148646,0.764450741070515,1.01788735722678,0.108830950851354,72,""
"transport_util",20,0.0527471141090275,0.0151558243453317,0.0975350821624179,0.000695564511707693,0.0011049880006208,0.629476981937281,0.539969544261542,0.718984419613021,0.370523018062719,51,""
