"field","value"
"screen","noise_floor"
"run_at","2026-08-22T03:18:50+0000"
"commit","fc549ff7346d610badef64c4034d655e77335e89"
"r_version","4.4.2"
"parameters","pri1_surg_prob|mass_casualty_rate|mass_casualty_max_cas|mass_casualty_min_cas|pri1_dcs_rate"
"n_points","20"
"n_reps","20"
"design_reps","4"
"n_days","30"
"seed","20250819"
"cache","/tmp/claude-0/robust/points.csv"
