"hold_beds","evac_threshold_min","evac_threshold_days","mean_r2b_hold_q","ci_lower_r2b_hold_q","ci_upper_r2b_hold_q","mean_r2b_hold_util","ci_lower_r2b_hold_util","ci_upper_r2b_hold_util","mean_r2e_hold_q","ci_lower_r2e_hold_q","ci_upper_r2e_hold_q","mean_r2e_hold_util","ci_lower_r2e_hold_util","ci_upper_r2e_hold_util","mean_r2e_icu_q","ci_lower_r2e_icu_q","ci_upper_r2e_icu_q","mean_r2e_icu_util","ci_lower_r2e_icu_util","ci_upper_r2e_icu_util","mean_rtd","ci_lower_rtd","ci_upper_rtd","mean_dow","ci_lower_dow","ci_upper_dow"
5,0,0,0.928748502039742,0.4038957191284,1.45360128495108,0.798801324154624,0.760463069110712,0.837139579198536,0.154032260197857,0,0.360277402600086,0.741891950558813,0.645875227552172,0.837908673565454,0.916084969812302,0,2.68139697984633,0.892846646662823,0.854526839890066,0.93116645343558,161.7,149.136256176972,174.263743823028,2,1.41591353213192,2.58408646786808
7,0,0,0.269711409295977,0.146773055135985,0.392649763455969,0.781553501419837,0.761057279464035,0.80204972337564,0.177098040560243,0,0.381006027146917,0.747853297156313,0.641510794979436,0.85419579933319,1.0743939552465,0,2.9704805717947,0.878321392061973,0.825630669365434,0.931012114758513,164.5,146.553394761466,182.446605238534,1.5,0.656943801365859,2.34305619863414
10,0,0,0.0335014198059716,0,0.0872359180851962,0.680997817810913,0.651768622295557,0.710227013326269,0.116761177839315,0,0.265566663792145,0.6816692671282,0.584265583794856,0.779072950461544,1.27096027123124,0,3.72381748905795,0.890144533239057,0.85218200969005,0.928107056788064,174.2,159.366810105192,189.033189894808,0.9,0.112746194968643,1.68725380503136
5,1440,1,0.0378333458268611,0,0.101991318456443,0.359762677518706,0.340359176918864,0.379166178118547,0.300791020150498,0,0.621566418700639,0.845974866344024,0.775313037697625,0.916636694990424,1.00560250564807,0,2.53071758648906,0.904083393622666,0.859972339172506,0.948194448072825,190.1,178.242181551723,201.957818448277,1.6,0.577153576547477,2.62284642345252
7,1440,1,0.0344464446838578,0,0.0966049660713968,0.361320888029775,0.31541963290942,0.407222143150131,0.627747809540603,0.139540303430521,1.11595531565068,0.879907252989498,0.781077220732579,0.978737285246418,1.57973068866903,0.0867575814961192,3.07270379584194,0.907861146159828,0.840954269573284,0.974768022746372,201.5,178.955851232527,224.044148767473,2.1,0.732272848601031,3.46772715139897
10,1440,1,0.0297349260909711,0,0.0932429113622336,0.418902619328129,0.349765004567625,0.488040234088633,0.510452135758965,0.114494731575347,0.906409539942584,0.839346160783741,0.732510747593176,0.946181573974306,0.914801882055379,0,2.4888851641752,0.886909087629694,0.820362018066804,0.953456157192584,195.3,172.503037068167,218.096962931833,1.4,0.434341776133633,2.36565822386637
5,4320,3,0.216135416904592,0.0678192955599148,0.364451538249269,0.674396915405988,0.649005589614188,0.699788241197787,0.168728361072452,0,0.385310909930829,0.762715761453758,0.67567128546147,0.849760237446046,0.909277615742611,0,2.63314493640217,0.888291515626737,0.847085814815977,0.929497216437496,171,159.158736224538,182.841263775462,1.2,0.144326657360838,2.25567334263916
7,4320,3,0.0799122850070953,0.0144127038317897,0.145411866182401,0.597612054661065,0.560901079393476,0.634323029928655,0.231864632358113,0,0.529977174843306,0.784441013158804,0.714613129081811,0.854268897235797,0.983278488451568,0,2.8198101100791,0.883924860640932,0.839717131010863,0.928132590271001,177.9,165.762567018081,190.037432981919,0.4,0.0305912822108201,0.76940871778918
10,4320,3,0.026337874900307,0,0.0724776557414538,0.565397595323619,0.534066218678226,0.596728971969012,0.240633297498833,0,0.493753909023325,0.797314837833287,0.70776036945141,0.886869306215164,1.22143987500858,0,3.14902647760791,0.910173822385561,0.865032178232997,0.955315466538125,184.4,173.756369583342,195.043630416658,1.2,0.320631360342929,2.07936863965707
5,7200,5,0.635337740002323,0.242327295170751,1.0283481848339,0.768641634838644,0.734829088367017,0.80245418131027,0.283289358788808,0,0.583812107528942,0.80102946047695,0.704173277660643,0.897885643293258,1.01244417792272,0,2.901214572167,0.883666750571943,0.827878626735712,0.939454874408173,172.7,149.783629629749,195.616370370251,1.3,0.542186729281677,2.05781327071832
7,7200,5,0.200194920619764,0.0771223975855707,0.323267443653957,0.726181096447212,0.679060559499518,0.773301633394907,0.200418301537535,0,0.448559330402397,0.723676379619794,0.629008579823741,0.818344179415846,1.07732621306909,0,3.07392402570585,0.898271520064535,0.856256769326169,0.9402862708029,171,153.000404647642,188.999595352358,1.6,0.831014432271884,2.36898556772812
