"vehicle","qty","mean_q","ci_lower_q","ci_upper_q","mean_util","ci_lower_util","ci_upper_util"
"PMVAmb",1,44.3414923671914,37.0002332572788,51.682751477104,0.920058744848112,0.909302484030362,0.930815005665861
"PMVAmb",2,0.589937951514644,0.523788898528109,0.656087004501178,0.460087604579922,0.45545229791168,0.464722911248164
"PMVAmb",3,0.0674367735046557,0.0588169945243946,0.0760565524849169,0.306595490459704,0.303126292583986,0.310064688335423
"PMVAmb",4,0.0139818677741123,0.0112502809988898,0.0167134545493349,0.230419896420873,0.227147945196096,0.233691847645651
"PMVAmb",5,0.00253708577350367,0.00223480031558428,0.00283937123142307,0.18312387684822,0.180878350883122,0.185369402813317
"HX240M",1,0.113252990444487,0.102331655767776,0.124174325121198,0.253162565629029,0.24930470742516,0.257020423832898
"HX240M",2,0.00474559830567416,0.00411728572004361,0.00537391089130471,0.128723820874195,0.126595613021428,0.130852028726961
"HX240M",3,0.000450842641371817,0.000385372726762537,0.000516312555981097,0.0860341268798463,0.08476463827983,0.0873036154798626
"HX240M",4,4.54918615512752e-05,2.96804588423115e-05,6.13032642602389e-05,0.0646413843416122,0.0636599433366084,0.0656228253466161
