"share","mean_r2e_icu_q","ci_lower_r2e_icu_q","ci_upper_r2e_icu_q","mean_r2b_icu_util","ci_lower_r2b_icu_util","ci_upper_r2b_icu_util","mean_r2e_icu_util","ci_lower_r2e_icu_util","ci_upper_r2e_icu_util","mean_pd_icu_share","ci_lower_pd_icu_share","ci_upper_pd_icu_share","mean_dow","ci_lower_dow","ci_upper_dow"
0,0.652261313303747,0,1.48520125057167,0.123619402809204,0.0652355004015044,0.182003305216903,0.880584388199834,0.855480913428903,0.905687862970765,0.34384771180838,0.277977867998214,0.409717555618546,1.8,1.26100753777666,2.33899246222334
0.25,0.711165818072006,0,1.76215307453909,0.141826016855968,0.0825269795657201,0.201125054146216,0.865142911930448,0.839084082684363,0.891201741176533,0.362634201310652,0.297499157301629,0.427769245319674,1.6,0.881343383702209,2.31865661629779
0.5,0.503263676466037,0,1.17526907991469,0.171030940182526,0.138352177246917,0.203709703118136,0.876176475938298,0.853298699625745,0.899054252250851,0.365332991000233,0.304760298270845,0.425905683729621,1.55,0.897336023564999,2.202663976435
0.75,0.469913759083821,0,1.15072526579713,0.195574375854626,0.172349420722128,0.218799330987124,0.848440535480948,0.816121902858678,0.880759168103217,0.39816139790592,0.329027191757943,0.467295604053897,1.25,0.590308483405181,1.90969151659482
1,0.4518777606915,0,1.12161733242693,0.2433815214027,0.220372906637258,0.266390136168141,0.868881743425647,0.845887413018308,0.891876073832986,0.400531316987257,0.340484645597325,0.460577988377189,1.65,1.03742690557435,2.26257309442565
