"i","dow_count","dow_rate_r1","dow_rate_r2b","dow_rate_r2e","dow_rate_r2e_postop","dow_rate_ame_wait","time_to_surgery_mean","time_to_surgery_p90","r2b_dwell_mean","r2b_r2e_transit_mean","r2e_dwell_mean","ot_util_r2b","ot_util_r2e","r2b_surgery_count","r2e_surgery_count","r2b_ot_q","r2e_ot_q","r2e_icu_q","r2b_hold_q","r2e_hold_q","transport_q","rtd_rate_r1","rtd_rate_r2b","rtd_rate_r2e","r2b_bypass_rate","total_rtd","role4_peak_occupancy","role4_mean_occupancy","ame_sortie_demand","ame_wait_critical_mean","ame_wait_standard_mean","ame_backlog_critical_mean","ame_backlog_critical_peak","ame_backlog_standard_mean","ame_backlog_standard_peak","ame_sorties_flown","system_ot_q","transport_util"
1,6,0.000294464075382803,0.00795053003533569,0,0.000588928150765607,0,4043.00051963406,9853.49223656987,4319.9520515716,28.7424149580798,3995.31238612656,0.111213062398381,0.686259333693579,61.4,188.6,0,4.30591646774757,0.685125158221108,1.86367672324333,0.000307032830159875,0.140813191837872,0.197585394581861,0.0521201413427562,0.0147232037691402,0.159602302459445,179.6,128.2,64.7866666666667,28.2,953.78165195594,158.803738317757,3.38631322055775,16,0.425340799360295,6.6,5,4.30591646774757,0.120522038137702
2,5.2,0,0.00670731707317073,0.000609756097560976,0.000609756097560976,0,3280.30055456706,8437.17539941462,3867.13752376976,27.9675910179687,3949.40738185981,0.108896268159237,0.645824719974155,59.6,188.2,0,4.23182376741429,0.148969679185735,1.31987479669801,0.0993565991639025,0.150012862066877,0.203353658536585,0.0536585365853659,0.0128048780487805,0.168136714443219,177,130.4,61.7866666666667,27.4,1091.72399083055,724.723095389221,3.10455738555108,12,1.73693811610067,11.6,4.8,4.23182376741429,0.117106141000047
3,5.2,0,0.00699726194097962,0.000608457560085184,0.000304228780042592,0,3280.11440957814,8498.8125681943,4016.8330947905,27.9134958339452,3884.89529775086,0.109677902331397,0.645863731971599,59.8,187.8,0,4.05615079217411,0.149682863101729,1.39072576850476,0.0978517057442603,0.150515487475652,0.202007909948281,0.052935807727411,0.0130818375418315,0.161605206073753,176.2,131.2,61.8866666666667,27.4,1075.44150242127,709.122402533485,3.02578573038517,11.8,1.73693811610067,11.6,4.8,4.05615079217411,0.117601515062014
4,2.6,0,0.00369913686806412,0.00030826140567201,0,0,3164.76357387954,8702.77025943318,4452.96211093434,28.2772402688159,3154.72772002874,0.10434891728458,0.585917638352457,60.4,189.2,0,2.37860674812787,0.093049884406143,1.73064605729731,0.0585446803680436,0.134991627025162,0.144882860665845,0.0557953144266338,0.0181874229346486,0.203661327231121,142,131.4,66.7733333333333,28.4,801.05365452649,752.122857595541,1.95704133825585,10.2,2.43976083682893,18.2,5.4,2.37860674812787,0.119898455197853
5,2.6,0.000299043062200957,0.00358851674641148,0,0,0,4254.01058366915,10519.8459232854,4921.1212421631,28.1557281016151,3920.28316571657,0.115122571182141,0.691897437300507,64.6,179,0,4.09376786707264,0.113531543174509,2.12269981937816,0.0770518510273342,0.146075909441969,0.139653110047847,0.0535287081339713,0.0155502392344498,0.142933049946865,139.6,136.8,61.2333333333333,28,1696.80677548108,693.143698149857,4.06578269346411,15,2.05868738913543,13.8,5.2,4.09376786707264,0.124923880383393
6,2.6,0.000299043062200957,0.00358851674641148,0,0,0,4254.01058366915,10519.8459232854,4921.1212421631,28.1557281016151,3920.28316571657,0.115122571182141,0.691897437300507,64.6,179,0,4.09376786707264,0.113531543174509,2.12269981937816,0.0770518510273342,0.146075909441969,0.139653110047847,0.0535287081339713,0.0155502392344498,0.142933049946865,139.6,136.8,61.2333333333333,28,1696.80677548108,693.143698149857,4.06578269346411,15,2.05868738913543,13.8,5.2,4.09376786707264,0.124923880383393
7,3.4,0.000336134453781513,0.0053781512605042,0,0,0,3161.87231538261,8306.92140169288,4209.75986429419,28.4384493116619,3529.1787885144,0.106336089915356,0.566931207910434,60.4,171.4,0,2.9011784080649,0.0999507723228473,1.42570274243706,0.0555509523237636,0.152154610043894,0.150252100840336,0.0635294117647059,0.0198319327731092,0.181540342298288,139,117.2,61.72,28,929.966217609239,817.661843949857,2.31174652788104,10.4,2.16494246501087,17.2,4,2.9011784080649,0.11385056057084
8,3.6,0.000339904826648538,0.00509857239972808,0.000679809653297077,0,0,3131.00530580986,8543.0323240742,4263.84581760914,28.3384341450627,3424.74975201089,0.0972900109004079,0.613175583945292,57,170.6,0,2.30884877925123,0.165396285954353,1.43189870315656,0.187722188856023,0.151802568495018,0.151937457511897,0.0615227736233855,0.0163154316791298,0.217940619077701,135.2,121.4,59.2266666666667,28.4,1427.97051374672,1354.06190422186,3.57009193703922,16.6,3.89336364690517,19.6,4.8,2.30884877925123,0.111771614625118
9,3,0.000614439324116743,0.00368663594470046,0.000307219662058372,0,0,3580.65383927136,9590.00311276066,4425.06535016964,28.3001159298512,3975.17963268202,0.103311572866448,0.64913446252335,59,174.8,0,3.69915187101484,0.245715273351253,1.69055844116532,0.382092043122628,0.159026911477177,0.142857142857143,0.0574500768049155,0.01321044546851,0.154494382022472,139,130.2,59.06,28.2,1904.37390718849,2001.82791388933,5.05241307544393,14.6,5.75612729478212,21.4,5.2,3.69915187101484,0.121824111214511
10,3,0.000627352572145546,0.00376411543287327,0,0.000313676286072773,0,3652.86294561487,9713.64831630434,4345.53254585458,28.0383887039218,3828.86924081844,0.099624128712199,0.588483852018205,56.2,178.2,0,3.50926174522697,0.151622601049119,1.61629059360158,0.166851049367352,0.132793466526794,0.217691342534504,0.0570890840652447,0.0134880803011292,0.160945413618458,183.8,120.4,58.3933333333333,28.6,1880.39150884174,1173.25187483573,4.44592874936093,16.4,2.98532444138146,15.6,4.4,3.50926174522697,0.112808990018069
