"parameter","S1","S1_lower","S1_upper","ST","ST_lower","ST_upper"
"pri1_surg_prob",-0.0476502328306173,-0.178693912165474,0.0958613484327403,0.435425269636684,0.230397231561281,0.65684952957538
"mass_casualty_rate",0.408666009725006,-0.244500293479379,0.717112475485268,0.572980050702911,0.31223132030135,0.920633119703386
"mass_casualty_max_cas",0.108063662762337,-0.0754648754801304,0.253092634176788,0.10426339765786,-0.053557779510374,0.339030362558316
"mass_casualty_min_cas",0.0552297786377853,-0.118029117649097,0.176215494390378,0.160051347572582,-0.00294303112135946,0.383535569195371
"pri1_dcs_rate",0.249888963390569,0.0122033608396885,0.466186244821374,-0.0339251538648826,-0.256485485056558,0.251540923698577
