"response","from","to","n_pairs","difference","ci_lower","ci_upper","p_value","reps_needed"
"icu_occupancy",0,1,50,-0.0524779670341087,-0.0729516444389792,-0.0320042896292382,4.60090885666267e-06,50
"total_dow",0,1,50,0.22,-0.206932799487977,0.646932799487977,0.305499871686292,35
"total_casualties",0,1,50,11.92,-10.3302459077542,34.1702459077542,0.286940693125948,942
"icu_pathway_n",0,1,50,-67.6,-77.9744365061427,-57.2255634938573,1.27303017568698e-17,205
"icu_pathway_dow",0,1,50,-0.02,-0.0601915047425848,0.0201915047425848,0.322223405950676,1
"hold_pathway_n",0,1,50,42.4,37.0104956499612,47.7895043500388,7.07458218356688e-21,56
"hold_pathway_dow",0,1,50,0.06,-0.00817823947232267,0.128178239472323,0.0831989669293843,1
