"response","from","to","n_pairs","difference","ci_lower","ci_upper","p_value","reps_needed"
"held_r2b",0,60,50,6.76,6.10143573918537,7.41856426081463,8.30238187953255e-26,21
"r2b_surgeries",0,60,50,2,-0.526323155248187,4.52632315524819,0.118061830974085,76
"diverted_offshift",0,60,50,-9.4,-15.5948582134425,-3.20514178655746,0.00369350171114184,457
"diverted_busy",0,60,50,0.52,-2.43191960305547,3.47191960305547,0.724857780073721,104
"r2e_first_surgeries",0,60,50,-6.38,-14.7702466250866,2.01024662508665,0.132919235468654,838
"r2e_theatre_deferred",0,60,50,-1.46,-3.97272190912907,1.05272190912907,0.248598429232151,301
"total_dow",0,60,50,0.02,-0.430234191255672,0.470234191255672,0.929232802431646,39
"total_casualties",0,60,50,-9.16,-31.0974637581498,12.7774637581498,0.405488767387098,916
